Reading logs from ../logs/V1
Classifying malicious_ransomwarePOC_10min_1.log as malicious, 13383 malicious entries found
Classifying malicious_ransomwarePOC_10min.log as malicious, 14477 malicious entries found
Total number of parameter combinations: 270
Starting grid search...
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.2222222222222222
Scaler: TfidfVectorizer, Ngram: 3, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.06666666666666667
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.5714285714285714
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.5714285714285714
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.5714285714285714
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.5714285714285714
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.41379310344827586
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.41379310344827586
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.41379310344827586
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.41379310344827586
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.2222222222222222
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.2222222222222222
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.06896551724137931
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.2222222222222222
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.2222222222222222
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.06896551724137931
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.06896551724137931
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.06896551724137931
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 4, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.06896551724137931
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'auto', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: CountVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 10, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 20, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'ball_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'euclidean'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'manhattan'}, F1 Score: 0.0
Scaler: TfidfVectorizer, Ngram: 5, Parameters: {'n_neighbors': 50, 'algorithm': 'kd_tree', 'metric': 'minkowski'}, F1 Score: 0.0
Grid search completed in 5484.375882387161 seconds
Best parameters found: {'n_neighbors': 10, 'algorithm': 'auto', 'metric': 'euclidean'}
Best F1 Score found: 0.7761194029850746
Best Ngram found: 3
Best Scaler found: CountVectorizer
